iter	Passed	Remaining
1203	7425	4909
1204	7431	4902
1205	7437	4896
1206	7443	4890
1207	7449	4884
1208	7455	4877
1209	7461	4871
1210	7467	4865
1211	7473	4859
1212	7479	4852
1213	7485	4846
1214	7491	4840
1215	7497	4833
1216	7504	4828
1217	7511	4822
1218	7516	4815
1219	7522	4809
1220	7528	4803
1221	7534	4797
1222	7541	4791
1223	7546	4784
1224	7553	4778
1225	7559	4772
1226	7565	4766
1227	7571	4760
1228	7578	4754
1229	7583	4747
1230	7589	4741
1231	7595	4735
1232	7601	4728
1233	7607	4722
1234	7614	4716
1235	7620	4710
1236	7626	4704
1237	7633	4698
1238	7639	4692
1239	7645	4685
1240	7651	4679
1241	7657	4673
1242	7663	4667
1243	7669	4661
1244	7676	4655
1245	7682	4648
1246	7688	4642
1247	7694	4636
1248	7700	4629
1249	7705	4623
1250	7711	4617
1251	7717	4611
1252	7723	4604
1253	7730	4598
1254	7735	4592
1255	7742	4586
1256	7748	4580
1257	7754	4573
1258	7760	4567
1259	7766	4561
1260	7772	4555
1261	7779	4549
1262	7785	4542
1263	7791	4536
1264	7797	4530
1265	7803	4524
1266	7810	4518
1267	7816	4512
1268	7822	4506
1269	7828	4500
1270	7835	4494
1271	7841	4488
1272	7847	4481
1273	7853	4475
1274	7859	4469
1275	7865	4462
1276	7871	4456
1277	7877	4450
1278	7884	4444
1279	7889	4438
1280	7896	4432
1281	7902	4425
1282	7908	4419
1283	7913	4413
1284	7920	4407
1285	7926	4400
1286	7933	4394
1287	7939	4388
1288	7945	4382
1289	7951	4376
1290	7957	4370
1291	7963	4363
1292	7969	4357
1293	7975	4351
1294	7981	4345
1295	7988	4339
1296	7994	4333
1297	8000	4326
1298	8006	4320
1299	8012	4314
1300	8018	4308
1301	8025	4302
1302	8031	4296
1303	8037	4290
1304	8044	4284
1305	8050	4277
1306	8056	4271
1307	8062	4265
1308	8068	4259
1309	8074	4252
1310	8080	4246
1311	8087	4240
1312	8094	4235
1313	8100	4228
1314	8106	4222
1315	8112	4216
1316	8118	4210
1317	8125	4204
1318	8130	4198
1319	8137	4191
1320	8143	4185
1321	8149	4179
1322	8156	4173
1323	8162	4167
1324	8168	4161
1325	8174	4155
1326	8180	4148
1327	8186	4142
1328	8193	4136
1329	8199	4130
1330	8205	4124
1331	8211	4117
1332	8217	4111
1333	8222	4105
1334	8229	4099
1335	8235	4093
1336	8241	4086
1337	8248	4081
1338	8255	4075
1339	8261	4069
1340	8267	4062
1341	8273	4056
1342	8279	4050
1343	8285	4044
1344	8291	4037
1345	8297	4031
1346	8303	4025
1347	8309	4019
1348	8314	4012
1349	8321	4006
1350	8326	4000
1351	8332	3993
1352	8339	3987
1353	8345	3981
1354	8352	3975
1355	8358	3969
1356	8364	3963
1357	8370	3957
1358	8376	3950
1359	8382	3944
1360	8388	3938
1361	8394	3932
1362	8400	3926
1363	8406	3919
1364	8412	3913
1365	8419	3907
1366	8425	3901
1367	8431	3895
1368	8437	3888
1369	8443	3882
1370	8449	3876
1371	8454	3870
1372	8461	3863
1373	8467	3857
1374	8473	3851
1375	8480	3845
1376	8486	3839
1377	8492	3833
1378	8498	3827
1379	8504	3820
1380	8511	3814
1381	8517	3808
1382	8523	3802
1383	8529	3796
1384	8536	3790
1385	8542	3784
1386	8548	3777
1387	8553	3771
1388	8559	3765
1389	8565	3759
1390	8572	3753
1391	8578	3746
1392	8584	3740
1393	8589	3734
1394	8595	3727
1395	8601	3721
1396	8608	3715
1397	8614	3709
1398	8620	3703
1399	8626	3697
1400	8633	3691
1401	8639	3684
1402	8645	3678
1403	8651	3672
1404	8657	3666
1405	8663	3660
1406	8669	3653
1407	8675	3647
1408	8681	3641
1409	8688	3635
1410	8694	3629
1411	8700	3623
1412	8706	3617
1413	8712	3610
1414	8719	3604
1415	8725	3598
1416	8731	3592
1417	8737	3586
1418	8743	3579
1419	8749	3573
1420	8755	3567
1421	8761	3561
1422	8767	3555
1423	8773	3548
1424	8780	3542
1425	8786	3536
1426	8792	3530
1427	8798	3524
1428	8804	3517
1429	8810	3511
1430	8816	3505
1431	8822	3499
1432	8829	3493
1433	8835	3487
1434	8841	3480
1435	8847	3475
1436	8853	3468
1437	8860	3462
1438	8866	3456
1439	8872	3450
1440	8878	3444
1441	8884	3438
1442	8891	3431
1443	8897	3425
1444	8903	3419
1445	8909	3413
1446	8915	3407
